"pa","BO_sstmean","BO_bathymean","BO22_ph","BO2_dissoxmean_bdmean","BO2_salinitymean_ss","BO2_chlomean_ss","BO21_nitratemean_ss"
1,26.4309997558594,-59,8.17300033569336,182.658112,35.632736,0.337094,2.043796
1,28.6480007171631,-3158,8.18099975585938,154.324478,35.735213,0.107879,0.132562
1,26.42799949646,-92,8.17300033569336,145.429886,35.647191,0.34329,2.086616
1,26.82200050354,-2764,8.14799976348877,130.07103,36.092577,0.217175,0.615217
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.5849990844727,-8,8.13300037384033,197.658981,38.711394,0.141303,3e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,26.9699993133545,-2427,8.14599990844727,117.168793,36.094637,0.236089,0.633861
1,27.55299949646,-7,8.13199996948242,197.713913,38.572768,0.140988,2e-06
1,27.3099994659424,-4,8.13199996948242,198.353958,37.770638,0.141672,0.001131
1,28.0879993438721,-5,8.13399982452393,197.94931,38.644236,0.121566,3.2e-05
1,27.55299949646,-4,8.13300037384033,197.660294,38.652464,0.141299,2e-06
1,26.882999420166,-2759,8.14200019836426,127.380913,36.10051,0.293972,0.691326
1,26.9190006256104,-2557,8.15299987792969,128.672577,36.050565,0.253079,0.722396
1,26.9190006256104,-2557,8.15299987792969,128.672577,36.050565,0.253079,0.722396
1,26.4109992980957,-1228,8.13599967956543,33.815723,36.024565,0.539451,1.214825
1,27.5839996337891,-4795,8.18400001525879,180.604874,35.518746,0.168033,0.923273
1,26.9220008850098,-2439,8.15999984741211,115.624763,35.984031,0.295062,0.800948
1,26.9419994354248,-2067,8.13899993896484,98.572151,36.049623,0.517558,1.127677
1,27.6060009002686,-6,8.13300037384033,197.747635,38.673339,0.141344,2e-06
1,26.576000213623,-3266,8.13899993896484,142.018204,36.104733,0.351124,0.950903
1,27.7110004425049,-3907,8.1850004196167,170.545715,35.881641,0.148978,0.631307
1,27.4790000915527,-12,8.13300037384033,198.351822,38.693469,0.139424,3e-06
1,27.6060009002686,-6,8.13300037384033,197.747635,38.673339,0.141344,2e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.5380001068115,-15,8.13300037384033,199.788376,38.699459,0.134637,4e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,28.0879993438721,-5,8.13399982452393,197.94931,38.644236,0.121566,3.2e-05
1,27.1959991455078,-194,8.14900016784668,45.105679,36.008021,0.452388,1.365409
1,29.0279998779297,-3080,8.17599964141846,156.284073,35.623813,0.088985,0.038557
1,28.9169998168945,-2640,8.17800045013428,143.127304,35.668457,0.095394,0.050389
1,27.2660007476807,-1641,8.14099979400635,64.001152,36.069487,0.472903,1.106196
1,26.5279998779297,-3393,8.13099956512451,137.989594,36.211486,0.310581,0.994855
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.55299949646,-7,8.13199996948242,197.713913,38.572768,0.140988,2e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.0639991760254,-2384,8.14500045776367,117.186211,36.095954,0.284217,0.768961
1,27.5060005187988,-16,8.13300037384033,200.322769,38.647342,0.140592,3e-06
1,27.9179992675781,-5,8.13300037384033,196.769089,38.944149,0.15135,0.000529
1,28.3999996185303,-4866,8.18299961090088,181.878143,35.355675,0.168927,0.515184
1,27.7059993743896,-2,8.13199996948242,197.194992,38.667218,0.141387,3e-06
1,26.8589992523193,-4086,8.15200042724609,149.023636,36.132121,0.195537,0.396853
1,26.923999786377,-3877,8.1569995880127,147.471741,36.138895,0.188732,0.413245
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,26.5790004730225,-2959,8.13799953460693,132.746857,36.05536,0.450167,1.166622
1,27.0429992675781,7,8.13399982452393,201.211929,38.096431,0.140161,8.9e-05
1,27.8229999542236,-5,8.13199996948242,196.8358,38.852613,0.154684,0.00213
1,26.9699993133545,-3552,8.1269998550415,127.826714,36.347552,0.201519,0.194102
1,27.5380001068115,-8,8.13199996948242,197.592575,38.635504,0.141425,2e-06
1,27.8460006713867,-3,8.13199996948242,196.919922,38.731872,0.143962,0.000585
1,27.7719993591309,-4925,8.1879997253418,178.414642,36.133314,0.125465,0.313248
1,27.8530006408691,-6,8.13199996948242,196.763748,38.847649,0.154131,0.002025
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,28.0690002441406,-27,8.13300037384033,203.389709,38.824752,0.133183,9.3e-05
1,26.5279998779297,-3393,8.13099956512451,137.989594,36.211486,0.310581,0.994855
1,26.9720001220703,-4033,8.17599964141846,163.604477,35.944553,0.207475,1.253152
1,27.55299949646,-4,8.13300037384033,197.660294,38.652464,0.141299,2e-06
1,26.8209991455078,-2871,8.14200019836426,132.642487,36.096601,0.299823,0.709584
1,29.3090000152588,-2983,8.17599964141846,154.211761,35.511971,0.078043,0.026666
1,26.8619995117188,-3462,8.16300010681152,153.701904,36.057751,0.222011,1.025477
1,27.94700050354,-18,8.13199996948242,199.486877,38.766835,0.151671,0.002393
1,26.8080005645752,-2844,8.15299987792969,133.80072,36.119129,0.207798,0.589542
1,27.5970001220703,-6,8.13199996948242,197.240479,38.596595,0.140814,7e-06
1,27.4790000915527,-12,8.13300037384033,198.351822,38.693469,0.139424,3e-06
1,26.8010005950928,-3539,8.14500045776367,143.835373,36.094704,0.232442,0.593489
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,28.0879993438721,-5,8.13399982452393,197.94931,38.644236,0.121566,3.2e-05
1,27.2959995269775,-1875,8.14000034332275,86.39315,36.065157,0.496173,1.087959
1,27.3059997558594,-2810,8.15200042724609,134.48349,36.044637,0.271673,0.701859
1,27.6060009002686,-6,8.13300037384033,197.747635,38.673339,0.141344,2e-06
1,27.1000003814697,-3414,8.17899990081787,168.705505,35.345975,0.213736,0.969569
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.55299949646,-4,8.13300037384033,197.660294,38.652464,0.141299,2e-06
1,27.9160003662109,-12,8.13300037384033,197.194946,38.922161,0.148662,0.000745
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,28.0930004119873,-5113,8.17599964141846,182.460373,35.36287,0.174933,0.688807
1,26.8040008544922,-3250,8.14599990844727,142.768417,36.090922,0.224552,0.605964
1,26.7740001678467,-2913,8.14000034332275,132.667679,36.086799,0.366458,0.882367
1,27.7059993743896,-2,8.13199996948242,197.194992,38.667218,0.141387,3e-06
1,28.0149993896484,2,8.13399982452393,197.265457,38.742545,0.128039,5.8e-05
1,27.2430000305176,-159,8.13199996948242,89.397041,36.686026,0.137439,0.02686
1,27.7609996795654,64,8.13399982452393,198.96199,36.841936,0.112978,0.002085
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.9200000762939,-7,8.13199996948242,196.982697,38.757844,0.14883,0.001783
1,26.8110008239746,-3330,8.14400005340576,142.299942,36.094625,0.2419,0.601283
1,27.9759998321533,-2,8.13199996948242,196.481903,38.958645,0.15295,0.000771
1,26.5739994049072,-467,8.12199974060059,1.337294,36.587202,0.261995,0.086342
1,26.8099994659424,51,8.17199993133545,203.3853,35.559363,0.319812,1.654427
1,28.4640007019043,-1268,8.15499973297119,33.480057,36.111827,0.433979,0.78363
1,25.7719993591309,7,8.12100028991699,209.638306,35.995657,1.051488,0.900266
1,27.3659992218018,-2061,8.15299987792969,92.08036,36.039407,0.285456,0.734815
1,27.5160007476807,-2,8.13199996948242,197.502701,38.081113,0.136633,3e-06
1,28.1380004882812,-3662,8.1850004196167,168.141815,35.776676,0.139839,0.40053
1,29.5559997558594,-4087,8.17700004577637,174.400238,35.226853,0.093097,0.054362
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.3379993438721,-3664,8.18200016021729,162.14415,35.922485,0.173306,0.919826
1,27.882999420166,-10,8.13300037384033,196.997833,38.934371,0.150213,0.000745
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,28.2980003356934,-5014,8.18099975585938,182.078552,35.359065,0.166302,0.612056
1,27.9759998321533,-2,8.13199996948242,196.481903,38.958645,0.15295,0.000771
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,26.8479995727539,-2250,8.14999961853027,113.525757,36.08344,0.219086,0.640677
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.5170001983643,-10,8.13300037384033,198.008591,38.663923,0.140526,3e-06
1,27.9939994812012,-18,8.13399982452393,199.05217,38.732417,0.125953,3.7e-05
1,28.0879993438721,-5,8.13399982452393,197.94931,38.644236,0.121566,3.2e-05
1,27.931999206543,-17,8.13300037384033,198.589523,38.957565,0.150836,0.002661
1,27.0240001678467,-4117,8.17700004577637,164.317902,35.935076,0.203583,1.226262
1,26.7830009460449,-3017,8.14400005340576,133.262085,36.099233,0.239834,0.589568
1,28.1480007171631,-5135,8.17800045013428,182.262985,35.359703,0.170342,0.675417
1,26.992000579834,-2217,8.16300010681152,96.251183,35.974316,0.285169,0.600942
1,26.9379997253418,-3557,8.12600040435791,127.890228,36.343098,0.207342,0.203487
1,28.4839992523193,-3851,8.18200016021729,171.624939,35.738097,0.119265,0.198936
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.5160007476807,-2,8.13199996948242,197.502701,38.081113,0.136633,3e-06
1,27.9220008850098,-22,8.13300037384033,202.273849,38.898074,0.140165,4.7e-05
1,27.5380001068115,-8,8.13199996948242,197.592575,38.635504,0.141425,2e-06
1,26.8500003814697,-2841,8.14400005340576,127.300743,36.099196,0.239246,0.60261
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.5540008544922,-9,8.13199996948242,197.539429,38.606552,0.1413,2e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.4790000915527,-12,8.13300037384033,198.351822,38.693469,0.139424,3e-06
1,27.7099990844727,-5,8.13199996948242,197.116409,38.735571,0.144467,0.000677
1,27.5960006713867,-8,8.13300037384033,197.740356,38.736542,0.139921,3e-06
1,27.9179992675781,-5,8.13300037384033,196.769089,38.944149,0.15135,0.000529
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,26.6989994049072,-3276,8.14200019836426,142.13176,36.103567,0.28782,0.702334
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,26.8369998931885,-3636,8.1269998550415,134.164154,36.275053,0.291077,0.424033
1,27.6060009002686,-6,8.13300037384033,197.747635,38.673339,0.141344,2e-06
1,26.7849998474121,-3336,8.14299964904785,142.24762,36.099363,0.254982,0.608574
1,28.1700000762939,0,8.13399982452393,197.454163,38.722734,0.123742,2.8e-05
1,26.8449993133545,-2287,8.15200042724609,114.170738,36.0869,0.217358,0.65853
1,29.0009994506836,-4057,8.17700004577637,174.409653,35.575566,0.110098,0.108034
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.7700004577637,-8,8.13199996948242,196.976486,38.757497,0.148727,0.001802
1,27.1909999847412,-1684,8.15299987792969,64.153557,36.039204,0.264792,0.711436
1,26.9179992675781,-2282,8.13899993896484,109.138817,36.065601,0.463351,1.064645
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.9759998321533,-2,8.13199996948242,196.481903,38.958645,0.15295,0.000771
1,27.2439994812012,-1,8.12199974060059,203.070831,36.668169,0.187444,0.077169
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,28.7159996032715,-4348,8.18599987030029,178.640305,35.444246,0.136425,0.294361
1,27.8740005493164,-30,8.13300037384033,209.154999,38.655532,0.128792,6e-06
1,26.7670001983643,-3079,8.14299964904785,137.091721,36.095595,0.274298,0.659181
1,27.2999992370605,-2003,8.1540002822876,84.372894,36.035218,0.286919,0.728035
1,25.7689990997314,-6,8.12100028991699,210.3983,36.10209,1.025573,1.084952
1,27.9759998321533,-2,8.13199996948242,196.481903,38.958645,0.15295,0.000771
1,26.9150009155273,-3125,8.16100025177002,148.806808,36.097921,0.215995,0.861783
1,26.632999420166,-23,8.17000007629395,203.017471,35.382457,0.313923,1.255559
1,28.7110004425049,-4618,8.1879997253418,180.468552,35.347614,0.1565,0.28491
1,26.826000213623,-3043,8.14700031280518,134.039078,36.094262,0.22172,0.603336
1,27.2950000762939,-1833,8.14000034332275,74.933098,36.065839,0.49364,1.081593
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,28.378999710083,-3697,8.18299961090088,168.171478,35.76728,0.11839,0.20433
1,27.8770008087158,-9,8.13300037384033,196.881256,38.954083,0.150176,0.000415
1,29.0300006866455,-4755,8.18400001525879,178.527817,35.380771,0.133831,0.242054
1,27.7099990844727,-3520,8.1850004196167,159.575714,35.888935,0.147675,0.625193
1,28.3509998321533,-4914,8.18299961090088,181.835495,35.355749,0.167548,0.530473
1,26.2999992370605,-71,8.12100028991699,148.10878,36.418573,0.525518,0.24557
1,27.5919990539551,-5,8.13300037384033,197.838455,38.70573,0.139566,3e-06
1,26.7700004577637,-2114,8.12199974060059,83.67009,36.586273,0.242553,0.077329
1,26.8810005187988,-857,8.17199993133545,58.034008,35.248667,0.305402,1.110549
1,26.673999786377,-308,8.13599967956543,25.2966,36.007704,0.592055,1.323047
1,26.8770008087158,-2689,8.1569995880127,138.547134,36.085415,0.220636,0.814557
1,27.6060009002686,-6,8.13300037384033,197.747635,38.673339,0.141344,2e-06
1,26.8040008544922,-3677,8.12600040435791,134.004547,36.288234,0.293368,0.381433
1,28.0149993896484,2,8.13399982452393,197.265457,38.742545,0.128039,5.8e-05
1,27.6060009002686,-6,8.13300037384033,197.747635,38.673339,0.141344,2e-06
1,28.3470001220703,-4895,8.18299961090088,181.797546,35.355737,0.167055,0.53581
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,28.1700000762939,0,8.13399982452393,197.454163,38.722734,0.123742,2.8e-05
1,27.746000289917,-4727,8.1879997253418,170.008423,36.133539,0.127233,0.329597
1,27.7700004577637,-33,8.13399982452393,210.036713,38.527956,0.118763,1.8e-05
